Datum;Beschreibung;Typ;Total;Zürich_Ja;Zürich_Nein;Ticino_Ja;Ticino_Nein;Französische_Schweiz;Alpen_und_Voralpen;Westmittelland;Ostmittelland;Italienische_Schweiz;Alter_15-29;Alter_30-59;Alter_60++;Alter_15-64;Alter_65++;Männlich;Weiblich;Städtisch;Ländlich;D-CH;W-CH;I-CH
22.02.2020;Distanz;Mean;55391.2;76485.8;50122.7;35122.1;56288.7;48875;42778.6;52393.9;74290;35122.1;56659.5;59937.3;37117.8;57515.7;37839.2;59971;49801.2;55511.7;55230.5;58739.8;48875;35122.1
22.02.2020;Radius;Mean;19519.5;19295;19575.6;13501.1;19786;20902.6;17786.1;21369.5;19019.4;13501.1;24316;19164.7;14996.1;19983.2;15688.8;19557.3;19473.3;19162.3;19996.1;19416.8;20902.6;13501.1
22.02.2020;Distanz;Median;21632.3;21369.4;21749.7;19089.8;21813.1;24220.8;18570.3;23352.9;22670.1;19089.8;35288.6;21143.2;13405.8;23233.7;12145.3;21700;21478.1;18743.7;26839.2;21462.7;24220.8;19089.8
22.02.2020;Radius;Median;6544.1;5865.7;6761.1;6080.5;6568.3;7176.4;5715.3;7953.7;6481.9;6080.5;11239.2;6298.2;4045.5;7191.2;3294;6356.6;6708.7;5437.6;9284.9;6476.3;7176.4;6080.5
23.02.2020;Distanz;Mean;50986;51825.2;50773.4;41874.2;51407.9;59981.7;36037.4;39884.5;63683.9;41984.9;87015.7;37740;54182.1;53673.1;29837.4;57290;43258.3;59603.6;39585;48575.3;59981.7;41984.9
23.02.2020;Radius;Mean;17655.6;16595.7;17924;17520.4;17661.9;20834.9;15104.5;17143.8;17270.3;17357.4;26503.8;15736.3;13755.3;18323;12403.3;18050.7;17171.3;18012.4;17183.5;16624.2;20834.9;17357.4
23.02.2020;Distanz;Median;14485.5;12345.4;14879.3;10222.8;14623.5;17504.7;11973.7;15524.4;13198.1;10479.5;25180.8;12957.5;10225.5;15640.4;7924.4;15595.8;13219.6;12521.4;17009;13571.1;17504.7;10479.5
23.02.2020;Radius;Median;4674.4;4243.8;4839;3149.3;4754.5;6036.9;3747.2;5278.1;4469.9;2939.3;8892;4365;2698.1;4995.7;2257.1;4839;4597.9;4129.6;5756.6;4450.9;6036.9;2939.3
24.02.2020;Distanz;Mean;44559.5;42474.6;45094.7;33876.5;45043.7;45598;44230.3;43129.3;46619.2;33583.9;48306.4;46343.1;33428.4;46497.7;28363.9;48691.1;39540.3;40495.1;50087;44884.5;45598;33583.9
24.02.2020;Radius;Mean;16657.7;15324.6;16999.9;12567.6;16843.1;17040.3;16548.8;16539.3;17126.3;12458.8;18826.3;17041.6;12580.2;17358.6;10801.1;17911.8;15134.3;15392.4;18378.5;16786.9;17040.3;12458.8
